r,time,v_theta_sim,v_theta_analytical_t0,v_theta_analytical_tfin
2.0183999999999997,30.0,0.11523004297302544,0.15854141894431256,0.15853543592989236
2.0338666666666665,30.0,0.11076431666663156,0.1573357807778818,0.15733070437303429
2.0493333333333332,30.0,0.10614475981003886,0.1561483409232555,0.15614403864884574
2.0648,30.0,0.10124079393022173,0.15497869042965098,0.15497504838518145
2.0802666666666663,30.0,0.09694699682073543,0.1538264325083769,0.15382335288723525
2.095733333333333,30.0,0.0922185596134376,0.1526911820840518,0.1526885810029644
2.1111999999999997,30.0,0.0869512934499025,0.15157256536554797,0.15157037097113746
2.1266666666666665,30.0,0.08178146063196375,0.15047021943565705,0.1504683702550142
2.1421333333333332,30.0,0.07630251448539228,0.149383791858531,0.14938223536433895
2.1575999999999995,30.0,0.07159777145925936,0.14831294030400727,0.1483116316680304
2.1730666666666663,30.0,0.06603415161504121,0.14725733218797615,0.14725623319967587
2.188533333333333,30.0,0.0604447797790568,0.1462166443279981,0.14621572245768863
2.2039999999999997,30.0,0.05442041430840864,0.1451905626134207,0.14518979020175762
2.2194666666666665,30.0,0.048822148339747205,0.1441787816892886,0.1441781352470132
2.234933333333333,30.0,0.04396844216855808,0.14318100465337869,0.14318046425714523
2.2504,30.0,0.03836841938461556,0.142196942765728,0.1421964915375408
2.2658666666666663,30.0,0.031683102484366586,0.14122631517005843,0.14122593882935788
2.281333333333333,30.0,0.024830608614983707,0.14026884862653316,0.14026853510531523
2.2967999999999997,30.0,0.02142000045752886,0.1393242772553111,0.13932401636785768
2.3122666666666665,30.0,0.01052931460794045,0.13839234229039288,0.1383921254502479
