run,method,ppc,flip_coef,r,v_theta_sim
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.3920666666666666,2.5281141673762617
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.4098000000000002,2.50295997451823
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.4275333333333333,2.476949645064833
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.4452666666666667,2.4523468261334993
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.463,2.427351220941901
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.4807333333333332,2.40184168668471
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.4984666666666668,2.375869347760146
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.5162,2.3499995664584574
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.5339333333333334,2.3247289382553897
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.5516666666666667,2.2993978173358767
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.5694,2.274141194145529
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.5871333333333335,2.249261236309286
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.6048666666666667,2.2252746913448904
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.6226,2.20237659786266
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.6403333333333334,2.1803639945455378
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.6580666666666666,2.1578852916942215
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.6758000000000002,2.134658074410656
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.6935333333333333,2.1121745089850323
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.7112666666666665,2.090852306267541
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.729,2.0705766269501846
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.7467333333333332,2.049517306466571
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.7644666666666668,2.029142864104044
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.7822,2.0097180570768
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.7999333333333332,1.9910706477499145
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.8176666666666668,1.9718209326551086
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.8354,1.9525982260047927
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.8531333333333335,1.9340307887451857
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.8708666666666667,1.9156394557415024
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.8885999999999998,1.8984562876001316
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.9063333333333334,1.8809327995616951
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.9240666666666666,1.8640613151904355
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.9418000000000002,1.847386600578382
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.9595333333333333,1.8311410971263538
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.9772666666666665,1.8144884532766323
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,1.995,1.7981530512656798
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.0127333333333333,1.7828125009556952
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.0304666666666664,1.7671110794521798
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.0482,1.7512952867782023
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.0659333333333336,1.7366835778977106
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.083666666666667,1.7225490963083858
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.1014,1.7082158777750858
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.119133333333333,1.6938122003047904
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.1368666666666667,1.6801575271063474
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.1546000000000003,1.6663225008225977
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.1723333333333334,1.6527384617243228
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.1900666666666666,1.6389382827109755
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.2077999999999998,1.6250751493885822
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.2255333333333334,1.6115028293837383
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.243266666666667,1.5983090787053176
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.261,1.5851583153350404
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.2787333333333333,1.5711351409740175
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.2964666666666664,1.5562501949201557
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.3142,1.5400391186009497
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.3319333333333336,1.5224585551954486
rankine_flip_ppc2_coefpic0.01_t4,flip,2,0.01,2.349666666666667,1.5039838006828978
