run,step,time,kinetic_energy,velocity_l2
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,38,38.0,4.6071882247924805,2.146436070600702
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,39,39.0,4.567315578460693,2.137127831612406
falling-block-water_flip_ppc3_coefpic0.05_t4_r1,40,40.0,4.493729591369629,2.1198417978818314
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,0,0.0,0.0,0.0
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,1,1.0,1.2007806301116943,1.0958013338897212
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,2,2.0,4.872289657592773,2.207326376838441
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,3,3.0,10.928019523620605,3.3057554051726403
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,4,4.0,19.42755126953125,4.407669596230104
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,5,5.0,30.451608657836914,5.518297422694114
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,6,6.0,43.711849212646484,6.611493454819796
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,7,7.0,43.14982223510742,6.568852208410348
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,8,8.0,37.654701232910156,6.13634253501475
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,9,9.0,28.675703048706055,5.354969718270473
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,10,10.0,17.687471389770508,4.205647477276834
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,11,11.0,10.194683074951172,3.192911307441455
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,12,12.0,7.380913734436035,2.7167835920325896
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,13,13.0,11.134336471557617,3.3368152387418757
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,14,14.0,16.222471237182617,4.027712989256822
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,15,15.0,22.859102249145508,4.781119279258781
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,16,16.0,27.661258697509766,5.259397049493293
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,17,17.0,29.029190063476562,5.3878742981926555
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,18,18.0,28.48052978515625,5.336715261765073
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,19,19.0,22.152795791625977,4.706675621939146
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,20,20.0,22.873247146606445,4.782598359711225
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,21,21.0,21.029844284057617,4.5858307589792275
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,22,22.0,19.495634078979492,4.415386140036339
